graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"email-Eu-core-temporal","332335","10","762","7437","0.135","12","0.0000044135","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","762","7437","0.135","12","0.0000044135","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","775","8029","0.554","47","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","775","8029","0.203","17","0.0000011485","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","775","8029","0.204","17","0.0000011485","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","775","8029","0.205","17","0.0000011485","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","775","8029","0.204","17","0.0000011485","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","779","8418","0.336","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","779","8418","0.019","1","6.3222e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","779","8418","0.016","1","6.3222e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","779","8418","0.018","1","6.3222e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","779","8418","0.017","1","6.3222e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","781","8747","0.348","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","781","8747","0.183","14","0.000002506","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","781","8747","0.183","14","0.000002506","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","781","8747","0.185","14","0.000002506","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","781","8747","0.184","14","0.000002506","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","785","9031","0.36","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","785","9031","0.017","1","0.0000010209","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","785","9031","0.017","1","0.0000010209","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","785","9031","0.017","1","0.0000010209","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","785","9031","0.017","1","0.0000010209","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","789","9386","0.349","26","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","789","9386","0.153","11","0.000002565","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","789","9386","0.166","11","0.000002565","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","789","9386","0.153","11","0.000002565","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","789","9386","0.152","11","0.000002565","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","794","9710","0.37","26","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","794","9710","0.244","17","0.0000031927","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","794","9710","0.245","17","0.0000031927","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","794","9710","0.242","17","0.0000031927","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","794","9710","0.243","17","0.0000031927","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","795","10017","0.394","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","795","10017","0.019","1","5.3606e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","795","10017","0.019","1","5.3606e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","795","10017","0.018","1","5.3606e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","795","10017","0.018","1","5.3606e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","797","10276","0.411","28","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","797","10276","0.019","1","8.3674e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","797","10276","0.019","1","8.3674e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","797","10276","0.019","1","8.3674e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","797","10276","0.019","1","8.3674e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","802","10532","0.422","28","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","802","10532","0.154","10","0.0000040975","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","802","10532","0.154","10","0.0000040975","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","802","10532","0.154","10","0.0000040975","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","802","10532","0.158","10","0.0000040975","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","805","10785","0.425","28","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","805","10785","0.186","12","0.0000038749","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","805","10785","0.186","12","0.0000038749","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","805","10785","0.186","12","0.0000038749","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","805","10785","0.187","12","0.0000038749","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","807","11028","0.421","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","807","11028","0.159","10","0.0000036026","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","807","11028","0.159","10","0.0000036026","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","807","11028","0.158","10","0.0000036026","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","807","11028","0.16","10","0.0000036026","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","808","11259","0.426","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","808","11259","0.162","10","1.6222e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","808","11259","0.162","10","1.6222e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","808","11259","0.16","10","1.6222e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","808","11259","0.162","10","1.6222e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","814","11501","0.438","27","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","814","11501","0.02","1","6.5987e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","814","11501","0.02","1","6.5987e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","814","11501","0.02","1","6.5987e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","814","11501","0.024","1","6.5987e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","816","11702","0.443","27","0","pagerankStatic"
